config_label,num_writers,num_readers,writer_rate,reader_rate,key_pool_size,key_overlap_ratio,max_retry_count,duration_secs,precondition_failure_rate,write_tps,read_tps,write_p50_ms,write_p95_ms,write_p99_ms,precond_p50_ms,precond_p99_ms,read_p50_ms,read_p99_ms,avg_retry_count
W2_WR0.10_O0.3_RD4_RT5,2,4,0.1,5,100,0.3,1,60,0.4167,0.20,4.64,1236.99,3180.54,3180.54,1114.11,1563.65,756.22,1559.55,0.42
W2_WR0.10_O0.3_RD4_RT6,2,4,0.1,6,100,0.3,1,60,0.5000,0.20,4.67,1195.01,3106.82,3106.82,1110.02,1131.52,766.98,1542.14,0.50
W2_WR0.10_O0.4_RD4_RT5,2,4,0.1,5,100,0.4,1,60,0.5455,0.18,4.96,1178.62,1593.34,1593.34,1044.48,1545.21,662.01,1415.17,0.45
W2_WR0.10_O0.4_RD4_RT6,2,4,0.1,6,100,0.4,1,60,0.5000,0.20,4.71,1125.38,1641.47,1641.47,1071.10,1244.16,765.44,1526.78,0.50
W2_WR0.15_O0.1_RD4_RT5,2,4,0.15,5,100,0.1,1,60,0.4444,0.29,4.02,1186.82,1841.15,1841.15,1161.21,1782.78,891.90,2095.10,0.44
W2_WR0.15_O0.1_RD4_RT6,2,4,0.15,6,100,0.1,1,60,0.5000,0.29,3.91,1168.38,1457.15,1457.15,1111.04,1300.48,900.10,2050.05,0.50
W2_WR0.15_O0.2_RD4_RT5,2,4,0.15,5,100,0.2,1,60,0.4444,0.29,4.04,1273.86,4337.66,4337.66,1116.16,1899.52,894.46,2070.53,0.44
W2_WR0.15_O0.2_RD4_RT6,2,4,0.15,6,100,0.2,1,60,0.5000,0.29,4.00,1156.10,1763.33,1763.33,1107.97,1693.69,891.39,2101.25,0.50
W2_WR0.15_O0.3_RD4_RT5,2,4,0.15,5,100,0.3,1,60,0.5000,0.29,3.93,1175.55,1736.70,1736.70,1193.98,1725.44,908.29,2035.71,0.50
W2_WR0.15_O0.3_RD4_RT6,2,4,0.15,6,100,0.3,1,60,0.5000,0.30,3.99,1156.10,1671.17,1671.17,1052.67,1168.38,900.10,2045.95,0.50
W2_WR0.15_O0.4_RD4_RT5,2,4,0.15,5,100,0.4,1,60,0.4444,0.29,3.96,1186.82,2185.22,2185.22,1103.87,1454.08,899.07,2052.09,0.44
W2_WR0.15_O0.4_RD4_RT6,2,4,0.15,6,100,0.4,1,60,0.5000,0.29,3.99,1197.06,2314.24,2314.24,1122.30,1318.91,890.88,2054.14,0.50
W2_WR0.20_O0.1_RD4_RT5,2,4,0.2,5,100,0.1,1,60,0.5000,0.38,3.40,1190.91,1565.69,1599.49,1136.64,1562.62,952.83,2555.90,0.50
W2_WR0.20_O0.1_RD4_RT6,2,4,0.2,6,100,0.1,1,60,0.4583,0.39,3.42,1179.65,2027.52,2697.22,1107.97,1139.71,966.14,2527.23,0.46
W2_WR0.20_O0.2_RD4_RT5,2,4,0.2,5,100,0.2,1,60,0.5000,0.39,3.46,1184.77,1576.96,1752.06,1068.03,1335.30,937.47,2562.05,0.50
