config_label,num_writers,num_readers,writer_rate,reader_rate,key_pool_size,key_overlap_ratio,max_retry_count,duration_secs,precondition_failure_rate,write_tps,read_tps,write_p50_ms,write_p95_ms,write_p99_ms,precond_p50_ms,precond_p99_ms,read_p50_ms,read_p99_ms,avg_retry_count,total_retry_failures,total_max_retries_exceeded,retry_failure_rate,retry_success_rate
W2_WR0.20_RD6_RT200,2,6,0.2,200,100,0,1,60,0.5000,0.38,4.41,1694.72,2961.41,3293.18,1608.70,3119.10,1123.33,3049.47,0.50,0,0,0.0000,1.0000
W2_WR0.20_RD6_RT300,2,6,0.2,300,100,0,1,60,0.4348,0.37,4.72,1633.28,2885.63,5128.19,1458.17,1691.65,1021.95,3012.61,0.43,0,0,0.0000,1.0000
W3_WR0.02_RD3_RT100,3,3,0.02,100,100,0,1,60,1.0000,0.05,2.30,1399.81,2051.07,2051.07,1352.70,1558.53,782.34,1037.82,0.60,1,1,0.2000,0.7500
W3_WR0.02_RD3_RT200,3,3,0.02,200,100,0,1,60,1.5000,0.04,2.65,1218.56,1561.60,1561.60,1173.50,1474.56,663.04,942.08,0.50,2,2,0.3333,0.5000
W3_WR0.02_RD3_RT300,3,3,0.02,300,100,0,1,60,1.5000,0.04,2.65,1233.92,1375.23,1375.23,1138.69,1263.62,666.11,904.19,0.50,2,2,0.3333,0.5000
W3_WR0.02_RD4_RT100,3,4,0.02,100,100,0,1,60,1.2500,0.04,3.52,1368.06,2650.11,2650.11,1264.64,1773.57,667.13,943.62,0.25,2,2,0.4000,0.3333
W3_WR0.02_RD4_RT200,3,4,0.02,200,100,0,1,60,1.0000,0.05,3.02,1564.67,2160.64,2160.64,1519.62,1617.92,794.62,1043.97,0.60,1,1,0.2000,0.7500
W3_WR0.02_RD4_RT300,3,4,0.02,300,100,0,1,60,1.5000,0.04,3.39,1207.30,1680.38,1680.38,1188.86,1711.10,669.18,935.42,0.50,2,2,0.3333,0.5000
W3_WR0.02_RD5_RT100,3,5,0.02,100,100,0,1,60,1.5000,0.04,4.40,1401.86,1702.91,1702.91,1332.22,1645.57,667.65,936.45,0.50,2,2,0.3333,0.5000
W3_WR0.02_RD5_RT200,3,5,0.02,200,100,0,1,60,0.5000,0.04,4.41,1404.93,5185.53,5185.53,1287.17,1340.41,669.18,924.16,0.25,0,0,0.0000,1.0000
W3_WR0.02_RD5_RT300,3,5,0.02,300,100,0,1,60,1.5000,0.04,4.40,1401.86,1638.40,1638.40,1317.89,1716.22,666.11,954.37,0.50,2,2,0.3333,0.5000
W3_WR0.02_RD6_RT100,3,6,0.02,100,100,0,1,60,0.7500,0.04,5.33,1399.81,5156.86,5156.86,1303.55,1323.01,668.16,914.43,0.25,1,1,0.3333,0.5000
W3_WR0.02_RD6_RT200,3,6,0.02,200,100,0,1,60,1.5000,0.02,5.50,1396.73,1560.58,1560.58,1526.78,1727.49,663.04,740.35,0.50,1,1,0.3333,0.5000
W3_WR0.02_RD6_RT300,3,6,0.02,300,100,0,1,60,1.6667,0.03,5.38,1840.13,2055.17,2055.17,1639.42,2105.34,668.16,811.01,0.33,1,1,0.2000,0.7500
W3_WR0.05_RD3_RT100,3,3,0.05,100,100,0,1,60,1.1429,0.12,3.40,1236.99,2803.71,2803.71,1196.03,1321.98,776.19,1312.77,0.57,2,2,0.2500,0.6667
W3_WR0.05_RD3_RT200,3,3,0.05,200,100,0,1,60,1.5000,0.10,3.56,1263.62,1763.33,1763.33,1251.33,1655.81,869.89,1203.20,0.50,3,3,0.3333,0.5000
W3_WR0.05_RD3_RT300,3,3,0.05,300,100,0,1,60,1.5000,0.10,3.60,1228.80,1499.13,1499.13,1215.49,1366.02,788.48,1180.67,0.50,3,3,0.3333,0.5000
W3_WR0.05_RD4_RT100,3,4,0.05,100,100,0,1,60,1.5000,0.10,4.80,1592.32,1846.27,1846.27,1519.62,1916.93,807.93,1172.48,0.50,3,3,0.3333,0.5000
W3_WR0.05_RD4_RT200,3,4,0.05,200,100,0,1,60,1.3333,0.10,4.72,1366.02,1878.02,1878.02,1305.60,1789.95,877.05,1181.69,0.50,2,2,0.2500,0.6667
W3_WR0.05_RD4_RT300,3,4,0.05,300,100,0,1,60,1.5000,0.10,4.70,1265.66,1756.16,1756.16,1340.41,1665.02,875.52,1280.00,0.50,3,3,0.3333,0.5000
W3_WR0.05_RD5_RT100,3,5,0.05,100,100,0,1,60,1.1429,0.12,5.38,1585.15,3569.66,3569.66,1375.23,2007.04,941.57,1315.84,0.57,2,2,0.2500,0.6667
W3_WR0.05_RD5_RT200,3,5,0.05,200,100,0,1,60,1.1429,0.11,5.16,1488.89,1916.93,1916.93,1591.30,1684.48,888.83,1295.36,0.57,2,2,0.2500,0.6667
W3_WR0.05_RD5_RT300,3,5,0.05,300,100,0,1,60,1.3333,0.10,5.97,1328.13,2055.17,2055.17,1171.45,1953.79,872.96,1179.65,0.50,2,2,0.2500,0.6667
W3_WR0.05_RD6_RT100,3,6,0.05,100,100,0,1,60,1.0000,0.03,10.17,1356.80,4988.93,4988.93,1301.50,1332.22,566.78,758.27,0.00,0,0,0.0000,1.0000
W3_WR0.05_RD6_RT200,3,6,0.05,200,100,0,1,60,0.7500,0.07,7.89,1628.16,5107.71,5107.71,1316.86,1774.59,771.58,957.44,0.25,1,1,0.3333,0.5000
W3_WR0.05_RD6_RT300,3,6,0.05,300,100,0,1,60,1.1429,0.11,6.21,1567.74,2777.09,2777.09,1347.58,1926.14,968.19,1281.02,0.57,2,2,0.2500,0.6667
W3_WR0.10_RD3_RT100,3,3,0.1,100,100,0,1,60,1.5000,0.19,2.84,1306.62,1881.09,1881.09,1306.62,1935.36,937.47,1840.13,0.50,6,6,0.3333,0.5000
W3_WR0.10_RD3_RT200,3,3,0.1,200,100,0,1,60,1.3077,0.21,2.63,1347.58,4542.46,4542.46,1226.75,1894.40,1035.26,1936.38,0.54,5,5,0.2941,0.5833
W3_WR0.10_RD3_RT300,3,3,0.1,300,100,0,1,60,1.0000,0.24,2.40,1413.12,4263.94,4263.94,1220.61,1558.53,1175.55,2213.89,0.60,3,3,0.2000,0.7500
W3_WR0.10_RD4_RT100,3,4,0.1,100,100,0,1,60,1.2308,0.21,3.77,1529.86,2414.59,2414.59,1380.35,1813.50,948.74,1955.84,0.46,5,5,0.3125,0.5455
W3_WR0.10_RD4_RT200,3,4,0.1,200,100,0,1,60,1.4167,0.20,3.74,1372.16,1599.49,1599.49,1460.22,1750.02,977.41,1832.96,0.50,5,5,0.2941,0.5833
W3_WR0.10_RD4_RT300,3,4,0.1,300,100,0,1,60,1.3077,0.21,3.63,1360.89,3559.42,3559.42,1323.01,2465.79,1026.05,1953.79,0.54,5,5,0.2941,0.5833
